claim,value,unit,currency,geography,segment,period,period_type,value_basis,source_name,url,date_accessed,confidence,notes
IN bath_shower cagr_forecast,3.16,percent,USD,IN,bath_shower,2025-2030,range,NA,MarkNtel Advisors,https://www.marknteladvisors.com/press-release/india-bath-soap-market-size,2026-07-25,LOW,"SCOPE CAVEAT: bath soap only. ""3.16% during the forecast period, i.e., 2025-30"", USD 3.54bn (2024) to USD 4.22bn (2030). Organised/unorganised coverage not stated. cf IMARC bath-soap 4.88% (2026-2034) and IMARC bath & shower products 3.80% (2026-2034)."
IN colour_cosmetics market_size,3.46,usd_bn,USD,IN,colour_cosmetics,2024,CY,RETAIL,DMI,,2026-07-21,LOW,"Forecast CAGR 7.08%. CONFLICT, previously undocumented: Market Research Future puts India colour cosmetics at USD 5.55bn (2024, see companion claim) — 60% higher on the same nominal period; Markets and Data puts it at USD 4.80bn (FY24) — 39% higher. No shared definition confirmed across the three; do not average."
IN colour_cosmetics market_share [mass],79.55,percent,USD,IN,colour_cosmetics,2025,CY,RETAIL,Mordor Intelligence,,2026-07-21,LOW,Mass tier share of colour cosmetics
IN colour_cosmetics market_size,4.8,usd_bn,USD,IN,colour_cosmetics,FY24,FY,RETAIL,Markets and Data,https://www.marketsandata.com/industry-reports/india-color-cosmetics-market,2026-07-24,LOW,Source labels base year 'FY2024'. Conflicts with MRFF USD 5.55bn CY2024 (see companion claim); different period conventions and definitions. Organised+unorganised coverage not stated.
IN colour_cosmetics cagr_forecast,8.41,percent,USD,IN,colour_cosmetics,FY25-FY32,range,NA,Markets and Data,https://www.marketsandata.com/industry-reports/india-color-cosmetics-market,2026-07-24,LOW,USD 4.80bn FY2024 to USD 9.15bn FY2032. Face cosmetics cited as leading sub-segment (share not quantified).
IN colour_cosmetics market_size,5.55,usd_bn,USD,IN,colour_cosmetics,2024,CY,RETAIL,Market Research Future,https://www.marketresearchfuture.com/reports/india-colour-cosmetics-market-47939,2026-07-24,LOW,"2025: USD 5.89bn; 2035: USD 10.73bn. Conflicts with Markets and Data USD 4.80bn FY24 (see companion claim) and, previously undocumented, with DMI USD 3.46bn 2024 (see companion claim) — 60% lower on the same nominal period. MRFF page shows template-like breakdowns; treat cautiously."
IN colour_cosmetics cagr_forecast,6.18,percent,USD,IN,colour_cosmetics,2025-2035,range,NA,Market Research Future,https://www.marketresearchfuture.com/reports/india-colour-cosmetics-market-47939,2026-07-24,LOW,USD 5.89bn 2025 to USD 10.73bn 2035.
IN colour_cosmetics market_size,1.89,usd_bn,USD,IN,colour_cosmetics,2024,CY,RETAIL,Market Research Future,https://www.marketresearchfuture.com/reports/india-colour-cosmetics-market-47939,2026-07-24,LOW,"'Face Products' application segment; projected USD 3.63bn by 2035, cited as fastest-growing application. Within MRFF's USD 5.55bn 2024 total."
IN colour_cosmetics market_size,1.39,usd_bn,USD,IN,colour_cosmetics,2024,CY,RETAIL,Market Research Future,https://www.marketresearchfuture.com/reports/india-colour-cosmetics-market-47939,2026-07-24,LOW,'Lip Products' application segment within MRFF's USD 5.55bn 2024 India colour cosmetics total. Broader than lipstick-only figures from TechSci/Markets and Data (see companion claims).
IN colour_cosmetics market_size,0.83,usd_bn,USD,IN,colour_cosmetics,2024,CY,RETAIL,Market Research Future,https://www.marketresearchfuture.com/reports/india-colour-cosmetics-market-47939,2026-07-24,LOW,'Nail Products' application segment; projected USD 1.58bn by 2035.
IN colour_cosmetics market_size,630.55,usd_mn,USD,IN,colour_cosmetics,2024,CY,RETAIL,TechSci Research,https://www.techsciresearch.com/report/india-lipstick-market/27925.html,2026-07-24,LOW,"Lipstick ONLY — narrower than lip_colour (excludes gloss/liner/tint). Forecast USD 1,094.78mn by 2030. Cross-ref Markets and Data USD 629.42mn FY24 (near-identical value, different period label)."
IN colour_cosmetics cagr_forecast,9.63,percent,USD,IN,colour_cosmetics,2025-2030,range,NA,TechSci Research,https://www.techsciresearch.com/report/india-lipstick-market/27925.html,2026-07-24,LOW,"Lipstick only. USD 630.55mn 2024 to USD 1,094.78mn 2030."
IN colour_cosmetics market_size,629.42,usd_mn,USD,IN,colour_cosmetics,FY24,FY,RETAIL,Markets and Data,https://www.marketsandata.com/industry-reports/india-lipstick-market,2026-07-24,LOW,"Lipstick ONLY; source labels 'FY2024'. Forecast USD 1,305.69mn by FY2032. Cross-ref TechSci USD 630.55mn 2024."
IN colour_cosmetics cagr_forecast,9.55,percent,USD,IN,colour_cosmetics,FY25-FY32,range,NA,Markets and Data,https://www.marketsandata.com/industry-reports/india-lipstick-market,2026-07-24,LOW,"Lipstick only. USD 629.42mn FY24 to USD 1,305.69mn FY32."
IN colour_cosmetics trade_margin,26.0,percent,INR,IN,colour_cosmetics,2025,CY,NA,Sylvr (Nykaa commission guide 2025),https://sylvr.io/answers/nykaa-seller-commission,2026-07-24,LOW,"Channel: e-commerce — Nykaa platform commission on colour cosmetics, stated range 24-28% (midpoint recorded). Same source states haircare 20-24%, fragrances 22-25%. Overall Nykaa commission 22-28% depending on category and brand tier."
IN colour_cosmetics trade_margin,3.5,percent,INR,IN,colour_cosmetics,2025,CY,NA,Rekonsile (Amazon India fee revision Sep-2025 guide),https://rekonsile.com/amazon-india-fee-revision-september-2025-complete-guide,2026-07-24,LOW,"Channel: e-commerce — Amazon.in referral fee, Beauty (Make-up) category, INR 500-1,000 price band: cut from 7.5% to 3.5% effective Sep-2025; INR 300-500 band cut from 4.5% to 2.0%."
IN colour_cosmetics growth_yoy,6.13,percent,USD,IN,colour_cosmetics,2025,CY,NA,Market Research Future (derived),https://www.marketresearchfuture.com/reports/india-colour-cosmetics-market-47939,2026-07-25,ESTIMATE,Organised/unorganised coverage not stated by the source. India colour cosmetics carries a significant unorganised and counterfeit tail that aggregator sizing typically excludes. Do not present as an audited market-growth reading.
IN deodorants market_size,1.0,usd_bn,USD,IN,deodorants,2025,CY,RETAIL,IMARC Group,https://www.imarcgroup.com/india-deodorants-market,2026-07-25,LOW,"SCOPE CAVEAT: IMARC scope = sprays, roll-ons, creams, gels, wipes, sticks and others. Organised/unorganised coverage not stated; the source notes competition from both organised and unorganised players but does not say which its sizing covers. Value is rounded to one decimal by the source (USD 1.0bn), so precision is low."
IN deodorants cagr_forecast,3.1,percent,USD,IN,deodorants,2026-2034,range,NA,IMARC Group,https://www.imarcgroup.com/india-deodorants-market,2026-07-25,LOW,"IMARC: USD 1.0bn (2025) to USD 1.4bn (2034), CAGR 3.10% 2026-2034. Organised/unorganised coverage not stated."
IN deodorants cagr_forecast,7.8,percent,USD,IN,deodorants,2026-2035,range,NA,Expert Market Research,https://www.expertmarketresearch.com/reports/india-deodorant-market,2026-07-25,LOW,"""India Deodorant Market is set to grow at a CAGR of around 7.80% during 2026-2035"", base year 2025. Scope = gel, cream, spray, roll-on, stick, wipes, others; branded products across supermarkets, hypermarkets, convenience stores and online. Organised/unorganised coverage not stated. CONFLICT: cf IMARC 3.10% (2026-2034) and Bonafide Research 9.13% (2024-2029) — the three forecasts span 3.10-9.13% on essentially the same product scope. Do not average."
IN deodorants cagr_forecast,9.13,percent,USD,IN,deodorants,2024-2029,range,NA,Bonafide Research,https://www.bonafideresearch.com/product/170410391/india-deodorant-market,2026-07-25,LOW,"""forecasted to grow at over 9.13% CAGR from 2024 to 2029"". Scope = spray, roll-on, gel, stick, creams, wipes, others; offline + online. No base-year value is disclosed on the teaser page, so no market_size claim is recorded from this source. Organised/unorganised coverage not stated. CONFLICT: cf IMARC 3.10% (2026-2034) and Expert Market Research 7.80% (2026-2035) — a ~3x spread between the extremes. 6Wresearch publishes the same 9.13% figure but states no year range on its page, so it is treated as the same underlying estimate rather than independent corroboration. Do not average."
IN deodorants growth_yoy,17.0,percent,INR,IN,deodorants,FY25,FY,NET_REALISATION,"Tracxn legal-entity financial profile (sourced from India MCA/ROC filings) -- Vini Cosmetics Pvt Ltd, maker of Fogg deodorants",https://tracxn.com/d/legal-entities/india/vini-cosmetics-private-limited/__-x60HjqkHymaXvt00dylUXvxoMZxDIvUpOad67psKew,2026-07-25,MEDIUM,"SCOPE CAVEAT: company-level (Vini Cosmetics Pvt Ltd, maker of Fogg -- Indias largest deodorant brand by volume share, ~15-16%), not a category-wide India deodorants market figure; used as proxy since Vini Cosmetics is a deodorant-focused company, unlike HUL/Godrej/ITC where deo is one line among many and no brand-level figure could be found in any fetchable source despite repeated attempts. Direct quote from source: VINI COSMETICS PRIVATE LIMITED generated more than INR 1,000 Cr in revenue for the financial year ending on Mar 31, 2025. The revenue has a compounded annual growth rate (CAGR) of 17% in the last 1 year. Tracxns 1-year CAGR is mathematically a single-year YoY growth rate (CAGR over exactly one year reduces to simple YoY), so this is not a CAGR-to-YoY substitution. Underlying data sourced by Tracxn from India MCA/ROC company filings; exact FY24 comparator and units not shown in free view. Corroborating datapoint, not a separate claim: McNroe Consumer Products (Wild Stone, #2 deodorant maker) shows a similar 1-year CAGR of 20% for FY25 on the same Tracxn platform -- consistent directionally, do not average. Organised-market only; no unorganised-market read implied."
IN dermocosmetics market_size,0.2803,usd_bn,USD,IN,dermocosmetics,2024,CY,RETAIL,P&S Market Research,https://www.psmarketresearch.com/market-analysis/india-skincare-dermacosmetics-market,2026-07-22,LOW,India skincare dermacosmetics; 2030 forecast US$0.505bn
IN dermocosmetics market_size,256.2,usd_mn,USD,IN,dermocosmetics,2023,CY,RETAIL,P&S Market Research (India Skincare Dermacosmetics),https://www.psmarketresearch.com/market-analysis/india-skincare-dermacosmetics-market,2026-07-24,LOW,"India skin care dermacosmetics US$256.2mn in 2023. This is the base-year detail behind the P&S US$0.28bn 2024 figure already on file (consistent at 10.3% CAGR). NARROW definition: brand-level scope lists Skinshine, Cetaphil, Dermadew; applications acne, dark circles, psoriasis, skin repair, wrinkles, scars — closer to Rx-adjacent cosmeceuticals than full derma/active skincare. cf MarkWide US$1.85bn 2026 (broad definition, ~7x gap — definitional, do not reconcile without normalising)."
IN dermocosmetics cagr_forecast,10.3,percent,USD,IN,dermocosmetics,2024-2030,range,RETAIL,P&S Market Research (India Skincare Dermacosmetics),https://www.psmarketresearch.com/market-analysis/india-skincare-dermacosmetics-market,2026-07-24,LOW,"10.3% CAGR 2024-2030, reaching US$505.0mn by 2030 (from US$256.2mn 2023). Western region highest regional CAGR at 10.6%. Same narrow definition caveat as the P&S market_size claim."
IN dermocosmetics market_size,1.85,usd_bn,USD,IN,dermocosmetics,2026,CY,NA,MarkWide Research (India Dermocosmetics Market),https://markwideresearch.com/india-dermocosmetics-market/,2026-07-24,LOW,"India dermocosmetics US$1.85bn (2026 value; base year 2025, history 2020-2024). BROAD definition: 'topical formulations containing active pharmaceutical or biologically active ingredients... manufactured under drug-grade GMP protocols' — likely sweeps in much of active-ingredient skincare. cf P&S US$256.2mn 2023 — ~7x definitional gap; competing estimates, do not merge into one series."
IN dermocosmetics cagr_forecast,11.6,percent,USD,IN,dermocosmetics,2026-2035,range,NA,MarkWide Research (India Dermocosmetics Market),https://markwideresearch.com/india-dermocosmetics-market/,2026-07-24,LOW,"11.60% CAGR, US$1.85bn 2026 -> US$4.97bn 2035. Page inconsistently states 'analysis window 2026-2036'; endpoint values imply 2026-2035. Broad-definition caveat as per the matching market_size claim."
IN dermocosmetics market_size,65.55,usd_mn,USD,IN,dermocosmetics,2025,CY,NA,Expert Market Research (India Masstige Derma Cosmetics),https://www.expertmarketresearch.com/reports/india-masstige-derma-cosmetics-market,2026-07-24,LOW,"MASSTIGE TIER ONLY (priced between mass and premium): India masstige derma cosmetics US$65.55mn in 2025. Subset of the segment, not a competing total — do not compare directly with P&S or MarkWide totals. Covers skin care + hair care; channels incl. D2C, pharmacies, e-commerce."
IN dermocosmetics cagr_forecast,14.6,percent,USD,IN,dermocosmetics,2026-2035,range,NA,Expert Market Research (India Masstige Derma Cosmetics),https://www.expertmarketresearch.com/reports/india-masstige-derma-cosmetics-market,2026-07-24,LOW,"Masstige derma tier: 14.60% CAGR 2026-2035, US$65.55mn 2025 -> US$256.11mn 2035. Fastest growth read among India derma estimates — consistent with masstige/derma D2C (Minimalist et al.) outgrowing the category."
IN dermocosmetics revenue,347.0,inr_cr,INR,IN,dermocosmetics,FY24,FY,NET_REALISATION,Entrackr,https://entrackr.com/news/hul-acquires-905-stake-in-minimalist-at-rs-2955-cr-valuation-8644087,2026-07-24,MEDIUM,"Company: Minimalist (Uprising Science) — FY24 (Apr-23 to Mar-24) revenue Rs 347 cr, up from Rs 184 cr FY23 (+89% YoY); PAT Rs 10.83 cr (doubled YoY); ARR reportedly Rs 500 cr at acquisition. HUL acquired 90.5% Jan-2025 at Rs 2,955 cr (~US$350mn) pre-money — 8.5x FY24 revenue, the benchmark derma D2C exit multiple. Article dated 2025-01-22."
IN dermocosmetics revenue,184.0,inr_cr,INR,IN,dermocosmetics,FY23,FY,NET_REALISATION,Entrackr,https://entrackr.com/news/hul-acquires-905-stake-in-minimalist-at-rs-2955-cr-valuation-8644087,2026-07-24,MEDIUM,Company: Minimalist (Uprising Science) — FY23 (Apr-22 to Mar-23) revenue Rs 184 cr; PAT Rs 5 cr. Base year for the +89% FY24 growth read.
IN dermocosmetics growth_yoy,60.0,percent,INR,IN,dermocosmetics,Jul-Sep 2025,range,RETAIL,Nykaa quarterly earnings materials via Insight Korea,https://www.insightkorea.co.kr/news/articleView.html?idxno=247479,2026-07-24,MEDIUM,"[CORRIDOR] K-beauty transaction value (GMV) on Nykaa grew MORE THAN 60% YoY in Jul-Sep 2025 per Nykaa quarterly earnings materials. Scope is all K-beauty on Nykaa, not derma-only — proxy for corridor derma momentum since Nykaa is the exclusive conduit for the K-derma wave: Medicube (APR) omnichannel India launch on Nykaa 2026-02-20; Aestura (Amorepacific) launched earlier; Illiyoon (Amorepacific) exclusive Nykaa launch Mar-2026. No brand-level India revenue published yet for any of the three. Article dated 2026-06-02."
IN emerging_adjacencies market_size,2.0,usd_bn,USD,IN,emerging_adjacencies,2025,CY,RETAIL,IMARC Group,https://www.imarcgroup.com/india-ayurvedic-skincare-market,2026-07-25,LOW,"India ayurvedic SKINCARE only — facial care, body care, hair and scalp care, specialty (anti-ageing, acne). This is the cleanest BPC-scoped ayurvedic figure found; it does NOT cover ayurvedic oral care or colour cosmetics, so it under-covers the ayurvedic_herbal adjacency as a whole. Organised/unorganised coverage not stated on this page; note the same publisher's all-ayurvedic page puts organised at 70% / unorganised at 30% in 2025, and the ayurvedic personal-care tail (loose oils, regional herbal brands) is heavily unorganised."
IN emerging_adjacencies cagr_forecast,11.98,percent,USD,IN,emerging_adjacencies,2026-2034,range,NA,IMARC Group,https://www.imarcgroup.com/india-ayurvedic-skincare-market,2026-07-25,LOW,"IMARC: India ayurvedic skincare USD 2.0bn (2025) to USD 5.8bn (2034), CAGR 11.98% 2026-2034. SCOPE CAVEAT: ayurvedic skincare only, not the full ayurvedic/herbal BPC adjacency. cf the same publisher's all-ayurvedic-products CAGR of 15.52% — but that basket is 58% healthcare (medicines and nutraceuticals), which is outside BPC, so the two are not comparable and must not be averaged. Organised/unorganised coverage not stated."
IN emerging_adjacencies market_size,42735.0,inr_cr,INR,IN,emerging_adjacencies,2025,CY,RETAIL,IMARC Group (derived),https://www.imarcgroup.com/india-ayurvedic-products-market,2026-07-25,ESTIMATE,"IMARC's ayurvedic personal-care scope is skin care, oral care, hair care and fragrances — wider than the ayurvedic skincare figure of USD 2.0bn (2025) from the same publisher, which is why this estimate is roughly 2.2x it. ORGANISED/UNORGANISED: the source page states organised leads with 70% share in 2025, so unorganised is ~30% and IS included in the base. Derived, not published — do not cite as a source figure."
IN emerging_adjacencies cagr_forecast,15.52,percent,INR,IN,emerging_adjacencies,2026-2034,range,NA,IMARC Group,https://www.imarcgroup.com/india-ayurvedic-products-market,2026-07-25,LOW,"IMARC: India ayurvedic products INR 1,017.51bn (2025) to INR 3,728.75bn (2034), CAGR 15.52% 2026-2034 (~USD 10.57bn to ~USD 38.75bn at the pinned rate USD/INR 96.23, config/exchange_rates.yaml pinned 2026-07-21). HARD SCOPE CAVEAT: 58% of this basket is healthcare products (ayurvedic medicines and nutraceuticals), which are OUTSIDE BPC scope — this growth rate is majority-driven by non-BPC demand and should not be applied to the BPC ayurvedic/herbal adjacency. Kept only because the derived personal-care market_size claim uses the same base. Organised 70% / unorganised 30% in 2025, so both are covered. cf ayurvedic-skincare-only 11.98%."
IN emerging_adjacencies market_size,1.3,usd_bn,USD,IN,emerging_adjacencies,2025,CY,RETAIL,IMARC Group,https://www.imarcgroup.com/india-halal-cosmetics-market,2026-07-25,LOW,"India halal cosmetics, USD 1.3bn (2025). Scope covers personal care (skin, hair, fragrances, other) plus colour cosmetics (face, eye, lip, nail). Organised/unorganised coverage not stated. SCOPE CAVEAT: halal certification in India is issued by private bodies with no single national register, so what counts as 'halal certified' is publisher-defined and unauditable."
IN emerging_adjacencies cagr_forecast,7.28,percent,USD,IN,emerging_adjacencies,2026-2034,range,NA,IMARC Group,https://www.imarcgroup.com/india-halal-cosmetics-market,2026-07-25,LOW,"IMARC: India halal cosmetics USD 1.3bn (2025) to USD 2.5bn (2034), CAGR 7.28% 2026-2034. Organised/unorganised coverage not stated. Note MarkNtel publishes a much higher India halal cosmetics growth figure (~30% CAGR per its press-release headline) — that page was not fetched and is therefore not recorded as a claim, but the spread signals the cell is unreliable."
IN emerging_adjacencies market_size,7786.49,inr_cr,INR,IN,emerging_adjacencies,2025,CY,RETAIL,Expert Market Research,https://www.expertmarketresearch.com/reports/india-clean-beauty-market,2026-07-25,LOW,"India clean beauty INR 7,786.49 Crore (2025), ~USD 0.81bn at the pinned rate USD/INR 96.23 (config/exchange_rates.yaml, pinned 2026-07-21). Scope: skin care (face and body), hair care, colour cosmetics. Organised/unorganised coverage not stated — 'clean beauty' is a branded-claim category so unorganised trade is almost certainly excluded in practice. SCOPE CAVEAT: 'clean' is a marketing claim with no Indian regulatory definition, so the boundary is publisher-defined."
IN emerging_adjacencies cagr_forecast,15.7,percent,INR,IN,emerging_adjacencies,2026-2035,range,NA,Expert Market Research,https://www.expertmarketresearch.com/reports/india-clean-beauty-market,2026-07-25,LOW,"EMR: India clean beauty INR 7,786.49 Crore (2025) to INR 33,471.51 Crore (2035), CAGR 15.70% 2026-2035 (~USD 0.81bn to ~USD 3.48bn at the pinned rate USD/INR 96.23, pinned 2026-07-21). Organised/unorganised coverage not stated. SCOPE CAVEAT: 'clean' has no Indian regulatory definition; boundary is publisher-defined."
IN emerging_adjacencies market_size,2.1,usd_bn,USD,IN,emerging_adjacencies,2025,CY,RETAIL,IMARC Group,https://www.imarcgroup.com/india-beauty-devices-market,2026-07-25,LOW,"SCOPE CAVEAT: IMARC's 'beauty devices' basket is dominated by small electrical grooming appliances — trimmers & shavers, hair dryers, straighteners, curlers, epilators, face cleansers, others. That is a personal-care appliance market, NOT the at-home skincare-device adjacency (LED masks, microcurrent, cleansing brushes) the taxonomy sub-segment targets. Organised/unorganised coverage not stated. cf TechSci USD 1.81bn (2024) on the identical seven-category scope — broadly consistent."
IN emerging_adjacencies market_size,1.81,usd_bn,USD,IN,emerging_adjacencies,2024,CY,RETAIL,TechSci Research,https://www.techsciresearch.com/news/7894-india-beauty-devices-market.html,2026-07-25,LOW,"SCOPE CAVEAT: same seven-category appliance scope as IMARC (trimmers & shavers, hair dryers, straighteners, curlers, epilators, face cleanser, others) — personal-care appliances rather than at-home skincare devices. Organised/unorganised coverage not stated. cf IMARC USD 2.1bn (2025) — consistent given one year of growth, unusually so for a pair of aggregators."
IN emerging_adjacencies cagr_forecast,14.56,percent,USD,IN,emerging_adjacencies,2026-2034,range,NA,IMARC Group,https://www.imarcgroup.com/india-beauty-devices-market,2026-07-25,LOW,"IMARC: USD 2.1bn (2025) to USD 7.4bn (2034), CAGR 14.56% 2026-2034. SCOPE CAVEAT: personal-care appliance basket, see the matching market_size claim. Organised/unorganised coverage not stated. cf TechSci 15.56% to 2030 — the two agree closely."
IN emerging_adjacencies cagr_forecast,15.56,percent,USD,IN,emerging_adjacencies,2025-2030,range,NA,TechSci Research,https://www.techsciresearch.com/news/7894-india-beauty-devices-market.html,2026-07-25,LOW,"TechSci: USD 1.81bn (2024) to USD 4.31bn (2030), CAGR 15.56%. SCOPE CAVEAT: personal-care appliance basket. Organised/unorganised coverage not stated. cf IMARC 14.56% (2026-2034) — close agreement, unusual for aggregator pairs and a mild positive signal on this cell."
IN emerging_adjacencies market_size,310.0,usd_mn,USD,IN,emerging_adjacencies,2025,CY,RETAIL,MarkNtel Advisors,https://www.marknteladvisors.com/research-library/india-k-beauty-products-market-report.html,2026-07-25,LOW,"[CORRIDOR] India K-beauty products market, USD 310mn (2025), forecast USD 872mn by 2032. Page also states facial skincare is ~65% of the K-beauty mix and female consumers ~80%. It cites India BPC at USD 28bn (2024) but does NOT compute K-beauty's share of that, so no share figure is claimed here. Organised/unorganised coverage not stated; grey-market and parallel-import K-beauty is a known unmeasured channel in India, so this likely undercounts sell-through. cf Credence Research USD 406.58mn (2023) — Credence's EARLIER-year level EXCEEDS this LATER-year level on a growing category, a direct contradiction; definitional mismatch unresolved, do not average."
IN emerging_adjacencies market_size,406.58,usd_mn,USD,IN,emerging_adjacencies,2023,CY,RETAIL,Credence Research,https://www.credenceresearch.com/report/india-k-beauty-product-market,2026-07-25,LOW,"[CORRIDOR] India K-beauty product market, USD 406.58mn (2023), forecast USD 959.33mn by 2032. Organised/unorganised coverage not stated; grey-market/parallel-import K-beauty is a known and unmeasured channel in India, so any of these figures likely undercounts actual sell-through. cf MarkNtel USD 310mn (2025) — MarkNtel's later-year figure is 24% BELOW this earlier-year figure; the two cannot both be right, definitional mismatch unresolved, do not average."
